,ULSP,ULSD,Year
0,74,76,2003
1,74,76,2003
2,74,76,2003
3,74,76,2003
4,74,76,2003
5,74,76,2003
6,75,76,2003
7,75,76,2003
8,75,76,2003
9,75,77,2003
10,75,77,2003
11,76,77,2003
12,76,77,2003
13,76,77,2003
14,76,77,2003
15,76,77,2003
16,76,77,2003
17,76,77,2003
18,75,77,2003
19,76,77,2003
20,76,77,2003
21,76,77,2003
22,75,77,2003
23,75,77,2003
24,76,77,2003
25,76,77,2003
26,75,77,2003
27,75,77,2003
28,75,77,2003
29,75,77,2003
30,75,77,2004
31,75,77,2004
32,76,78,2004
33,76,78,2004
34,76,78,2004
35,76,77,2004
36,76,78,2004
37,76,77,2004
38,76,77,2004
39,76,78,2004
40,77,78,2004
41,77,78,2004
42,77,79,2004
43,77,79,2004
44,77,79,2004
45,78,79,2004
46,78,79,2004
47,79,80,2004
48,80,81,2004
49,81,82,2004
50,82,83,2004
51,82,83,2004
52,82,83,2004
53,81,82,2004
54,81,82,2004
55,80,81,2004
56,79,80,2004
57,80,81,2004
58,80,81,2004
59,80,81,2004
60,80,81,2004
61,81,82,2004
62,81,82,2004
63,81,82,2004
64,81,82,2004
65,81,82,2004
66,81,82,2004
67,81,83,2004
68,81,83,2004
69,82,83,2004
70,83,85,2004
71,83,85,2004
72,83,86,2004
73,84,86,2004
74,84,86,2004
75,84,86,2004
76,81,85,2004
77,84,86,2004
78,84,86,2004
79,82,85,2004
80,81,85,2004
81,81,85,2004
82,81,85,2005
83,79,84,2005
84,78,83,2005
85,78,83,2005
86,79,84,2005
87,79,84,2005
88,80,84,2005
89,80,84,2005
90,80,84,2005
91,81,85,2005
92,81,86,2005
93,82,87,2005
94,83,87,2005
95,83,88,2005
96,85,89,2005
97,85,89,2005
98,85,89,2005
99,85,89,2005
100,85,89,2005
101,85,89,2005
102,84,89,2005
103,84,88,2005
104,84,88,2005
105,84,88,2005
106,85,89,2005
107,86,90,2005
108,87,91,2005
109,87,91,2005
110,88,92,2005
111,89,93,2005
112,89,93,2005
113,89,93,2005
114,90,94,2005
115,90,94,2005
116,91,95,2005
117,94,97,2005
118,95,97,2005
119,94,97,2005
120,93,96,2005
121,93,96,2005
122,94,97,2005
123,94,97,2005
124,93,96,2005
125,92,96,2005
126,92,96,2005
127,90,94,2005
128,88,93,2005
129,87,91,2005
130,87,91,2005
131,87,91,2005
132,87,91,2005
133,87,92,2005
134,88,92,2006
135,88,92,2006
136,89,93,2006
137,89,93,2006
138,89,93,2006
139,89,93,2006
140,89,93,2006
141,89,93,2006
142,89,93,2006
143,89,93,2006
144,89,93,2006
145,90,94,2006
146,91,94,2006
147,91,95,2006
148,92,96,2006
149,94,97,2006
150,95,98,2006
151,96,98,2006
152,96,98,2006
153,96,98,2006
154,96,98,2006
155,95,97,2006
156,95,97,2006
157,95,97,2006
158,95,97,2006
159,94,97,2006
160,95,97,2006
161,95,97,2006
162,96,98,2006
163,97,99,2006
164,97,99,2006
165,98,99,2006
166,97,99,2006
167,95,97,2006
168,94,96,2006
169,92,95,2006
170,91,95,2006
171,89,94,2006
172,88,93,2006
173,86,92,2006
174,86,91,2006
175,85,91,2006
176,85,91,2006
177,85,91,2006
178,85,91,2006
179,85,91,2006
180,85,91,2006
181,85,91,2006
182,85,91,2006
183,87,92,2006
184,87,93,2006
185,87,93,2006
186,87,93,2007
187,87,93,2007
188,87,91,2007
189,86,90,2007
190,85,89,2007
191,85,89,2007
192,86,90,2007
193,86,90,2007
194,87,91,2007
195,87,91,2007
196,88,92,2007
197,88,92,2007
198,89,92,2007
199,90,93,2007
200,91,94,2007
201,91,94,2007
202,92,95,2007
203,93,95,2007
204,94,96,2007
205,95,96,2007
206,95,96,2007
207,96,96,2007
208,96,97,2007
209,96,97,2007
210,96,97,2007
211,96,97,2007
212,96,96,2007
213,96,96,2007
214,96,96,2007
215,96,96,2007
216,96,96,2007
217,96,96,2007
218,96,96,2007
219,95,96,2007
220,95,96,2007
221,94,96,2007
222,94,96,2007
223,94,96,2007
224,94,96,2007
225,96,98,2007
226,97,99,2007
227,97,99,2007
228,97,99,2007
229,98,100,2007
230,99,102,2007
231,100,104,2007
232,101,105,2007
233,102,106,2007
234,102,107,2007
235,102,107,2007
236,102,107,2007
237,102,107,2007
238,102,107,2007
239,103,108,2008
240,103,108,2008
241,104,109,2008
242,104,109,2008
243,104,108,2008
244,103,108,2008
245,103,108,2008
246,104,110,2008
247,105,110,2008
248,105,112,2008
249,106,113,2008
250,106,114,2008
251,107,114,2008
252,107,115,2008
253,107,116,2008
254,108,118,2008
255,109,119,2008
256,110,120,2008
257,111,121,2008
258,112,124,2008
259,114,127,2008
260,116,128,2008
261,116,129,2008
262,117,130,2008
263,118,131,2008
264,118,132,2008
265,119,132,2008
266,119,132,2008
267,119,132,2008
268,116,130,2008
269,115,128,2008
270,113,126,2008
271,112,124,2008
272,112,123,2008
273,112,123,2008
274,112,124,2008
275,112,124,2008
276,110,122,2008
277,109,121,2008
278,109,121,2008
279,107,118,2008
280,102,114,2008
281,98,111,2008
282,97,109,2008
283,95,109,2008
284,94,108,2008
285,92,107,2008
286,91,106,2008
287,90,104,2008
288,89,101,2008
289,88,99,2008
290,87,99,2008
291,85,97,2009
292,86,98,2009
293,86,98,2009
294,87,99,2009
295,88,99,2009
296,89,100,2009
297,90,100,2009
298,90,100,2009
299,90,100,2009
300,90,100,2009
301,90,100,2009
302,90,99,2009
303,91,99,2009
304,93,102,2009
305,94,102,2009
306,94,102,2009
307,95,102,2009
308,95,102,2009
309,96,103,2009
310,97,103,2009
311,98,103,2009
312,99,103,2009
313,100,103,2009
314,101,104,2009
315,102,104,2009
316,103,105,2009
317,103,105,2009
318,102,104,2009
319,102,102,2009
320,102,102,2009
321,102,103,2009
322,103,103,2009
323,103,104,2009
324,104,105,2009
325,105,105,2009
326,106,107,2009
327,106,107,2009
328,105,106,2009
329,105,106,2009
330,104,105,2009
331,104,105,2009
332,105,106,2009
333,106,107,2009
334,107,108,2009
335,108,109,2009
336,108,109,2009
337,108,109,2009
338,108,109,2009
339,108,109,2009
340,108,109,2009
341,107,109,2009
342,107,109,2009
343,109,111,2010
344,110,112,2010
345,111,113,2010
346,111,113,2010
347,111,113,2010
348,111,113,2010
349,111,113,2010
350,111,112,2010
351,112,113,2010
352,113,114,2010
353,115,116,2010
354,116,117,2010
355,117,118,2010
356,119,120,2010
357,119,121,2010
358,120,121,2010
359,120,122,2010
360,121,122,2010
361,121,122,2010
362,121,122,2010
363,119,121,2010
364,118,120,2010
365,118,120,2010
366,117,120,2010
367,117,120,2010
368,117,120,2010
369,117,120,2010
370,117,119,2010
371,116,119,2010
372,116,119,2010
373,116,119,2010
374,116,118,2010
375,116,118,2010
376,115,117,2010
377,114,117,2010
378,114,117,2010
379,114,117,2010
380,115,117,2010
381,115,118,2010
382,116,118,2010
383,116,119,2010
384,117,120,2010
385,117,121,2010
386,118,121,2010
387,118,122,2010
388,118,122,2010
389,118,122,2010
390,119,123,2010
391,120,124,2010
392,121,125,2010
393,122,126,2010
394,123,127,2010
